Curie,Uri
DRUGBANK:DB00877,http://purl.obolibrary.org/obo/DRUGBANK_DB00877
DRUGBANK:DB09255,http://purl.obolibrary.org/obo/DRUGBANK_DB09255
DRUGBANK:DB00755,http://purl.obolibrary.org/obo/DRUGBANK_DB00755
DRUGBANK:DB00067,http://purl.obolibrary.org/obo/DRUGBANK_DB00067
PR:P08317,http://purl.obolibrary.org/obo/PR_P08317
DRUGBANK:DB01603,http://purl.obolibrary.org/obo/DRUGBANK_DB01603
GO:0072509,http://purl.obolibrary.org/obo/GO_0072509
DRUGBANK:DB00174,http://purl.obolibrary.org/obo/DRUGBANK_DB00174
DRUGBANK:DB00162,http://purl.obolibrary.org/obo/DRUGBANK_DB00162
NCBITaxon:9774,http://purl.obolibrary.org/obo/NCBITaxon_9774
NCBITaxon:8548,http://purl.obolibrary.org/obo/NCBITaxon_8548
NCBITaxon:1329920,http://purl.obolibrary.org/obo/NCBITaxon_1329920
NCBITaxon:1330544,http://purl.obolibrary.org/obo/NCBITaxon_1330544
NCBITaxon:8555,http://purl.obolibrary.org/obo/NCBITaxon_8555
NCBITaxon:2653790,http://purl.obolibrary.org/obo/NCBITaxon_2653790
NCBITaxon:30539,http://purl.obolibrary.org/obo/NCBITaxon_30539
NCBITaxon:8556,http://purl.obolibrary.org/obo/NCBITaxon_8556
NCBITaxon:9799,http://purl.obolibrary.org/obo/NCBITaxon_9799
NCBITaxon:161929,http://purl.obolibrary.org/obo/NCBITaxon_161929
NCBITaxon:161931,http://purl.obolibrary.org/obo/NCBITaxon_161931
NCBITaxon:34885,http://purl.obolibrary.org/obo/NCBITaxon_34885
NCBITaxon:34887,http://purl.obolibrary.org/obo/NCBITaxon_34887
NCBITaxon:61221,http://purl.obolibrary.org/obo/NCBITaxon_61221
NCBITaxon:9703,http://purl.obolibrary.org/obo/NCBITaxon_9703
NCBITaxon:9705,http://purl.obolibrary.org/obo/NCBITaxon_9705
NCBITaxon:9714,http://purl.obolibrary.org/obo/NCBITaxon_9714
NCBITaxon:9803,http://purl.obolibrary.org/obo/NCBITaxon_9803
NCBITaxon:9831,http://purl.obolibrary.org/obo/NCBITaxon_9831
NCBITaxon:9843,http://purl.obolibrary.org/obo/NCBITaxon_9843
GO:0007067,http://purl.obolibrary.org/obo/GO_0007067
DRUGBANK:DB00759,http://purl.obolibrary.org/obo/DRUGBANK_DB00759
DRUGBANK:DB08844,http://purl.obolibrary.org/obo/DRUGBANK_DB08844
PR:P22270,http://purl.obolibrary.org/obo/PR_P22270
DRUGBANK:DB10572,http://purl.obolibrary.org/obo/DRUGBANK_DB10572
PR:000025635,http://purl.obolibrary.org/obo/PR_000025635
DRUGBANK:DB00451,http://purl.obolibrary.org/obo/DRUGBANK_DB00451
DRUGBANK:DB06757,http://purl.obolibrary.org/obo/DRUGBANK_DB06757
DRUGBANK:DB15721,http://purl.obolibrary.org/obo/DRUGBANK_DB15721
DRUGBANK:DB10568,http://purl.obolibrary.org/obo/DRUGBANK_DB10568
DRUGBANK:DB10429,http://purl.obolibrary.org/obo/DRUGBANK_DB10429
DRUGBANK:DB14574,http://purl.obolibrary.org/obo/DRUGBANK_DB14574
DRUGBANK:DB03255,http://purl.obolibrary.org/obo/DRUGBANK_DB03255
GO:0098589,http://purl.obolibrary.org/obo/GO_0098589
DRUGBANK:DB00167,http://purl.obolibrary.org/obo/DRUGBANK_DB00167
DRUGBANK:DB00761,http://purl.obolibrary.org/obo/DRUGBANK_DB00761
DRUGBANK:DB10516,http://purl.obolibrary.org/obo/DRUGBANK_DB10516
DRUGBANK:DB01064,http://purl.obolibrary.org/obo/DRUGBANK_DB01064
PR:000035019,http://purl.obolibrary.org/obo/PR_000035019
DRUGBANK:DB14741,http://purl.obolibrary.org/obo/DRUGBANK_DB14741
DRUGBANK:DB02315,http://purl.obolibrary.org/obo/DRUGBANK_DB02315
DRUGBANK:DB09099,http://purl.obolibrary.org/obo/DRUGBANK_DB09099
DRUGBANK:DB12529,http://purl.obolibrary.org/obo/DRUGBANK_DB12529
DRUGBANK:DB00428,http://purl.obolibrary.org/obo/DRUGBANK_DB00428
DRUGBANK:DB11735,http://purl.obolibrary.org/obo/DRUGBANK_DB11735
DRUGBANK:DB00173,http://purl.obolibrary.org/obo/DRUGBANK_DB00173
DRUGBANK:DB13178,http://purl.obolibrary.org/obo/DRUGBANK_DB13178
PR:Q5A1D3,http://purl.obolibrary.org/obo/PR_Q5A1D3
DRUGBANK:DB13706,http://purl.obolibrary.org/obo/DRUGBANK_DB13706
PR:P34708,http://purl.obolibrary.org/obo/PR_P34708
GO:0007050,http://purl.obolibrary.org/obo/GO_0007050
DRUGBANK:DB00572,http://purl.obolibrary.org/obo/DRUGBANK_DB00572
DRUGBANK:DB00833,http://purl.obolibrary.org/obo/DRUGBANK_DB00833
DRUGBANK:DB06151,http://purl.obolibrary.org/obo/DRUGBANK_DB06151
DRUGBANK:DB08818,http://purl.obolibrary.org/obo/DRUGBANK_DB08818
GO:0070011,http://purl.obolibrary.org/obo/GO_0070011
DRUGBANK:DB12754,http://purl.obolibrary.org/obo/DRUGBANK_DB12754
